"SequenceID","NodeType","NodeID","ParentNodeID",ChoiceText,"Speaker","LineText","CGSpritePath","FontStyle","IsMonologue","RewardTarget","RewardStat","RewardAmount","NextNodeID","NextSequenceID","StartingNodeInNextSequence"
"Intro","NODE","Node4_Surprise",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_7.png",,,,,,,,
"Intro","NODE","Node5_Surprise",,,Mai,,"Assets/Image/CG/Opening Scene/Opening_8.png",,,,,,,,
"Intro","NODE","Node6_Surprise",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_8.png",,,,,,,,
"Intro","SEQUENCE_END","Node6_Surprise",,,,,,,,Mai,Love,2,,,
"Intro","NODE","Node1_WhatIsThat",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_6.png",,,,,,,,
"Intro","NODE","Node2_WhatIsThat",,,Mai,,"Assets/Image/CG/Opening Scene/Opening_7.png",,,,,,,,
"Intro","NODE","Node3_WhatIsThat",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_7.png",,,,,,,,
"Intro","NODE","Node4_WhatIsThat",,,Mai,,"Assets/Image/CG/Opening Scene/Opening_9.png",,,,,,,,
"Intro","NODE","Node5_WhatIsThat",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_9.png",,,,,,,,
"Intro","NODE","Node6_WhatIsThat",,,"Player",,,,"TRUE",,,,,,
"Intro","SEQUENCE_END","Node6_WhatIsThat",,,,,,,,Mai,Love,-5,,,
"Intro_Part2","SEQUENCE_START",,,,,,,,,,,,,,
"Intro_Part2","NODE","Node1",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_10.png",,"TRUE",,,,,,
"Intro_Part2","NODE","Node2",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_11.png",,"TRUE",,,,,,
"Intro_Part2","NODE","Node3",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_12.png",,"TRUE",,,,,,
"Intro_Part2","NODE","Node4",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_12.png",,"TRUE",,,,,,
"Intro_Part2","NODE","Node5",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_12.png",,,,,,,,
"Intro_Part2","NODE","Node6",,,Mai,,"Assets/Image/CG/Opening Scene/Opening_13.png",,,,,,,,
"Intro_Part2","NODE","Node7",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_13.png",,"TRUE",,,,,,
"Intro_Part2","NODE","Node8",,,Mai,,"Assets/Image/CG/Opening Scene/Opening_14.png",,,,,,,,
"Intro_Part2","NODE","Node9",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_14.png",,,,,,,,
"Intro_Part2","NODE","Node10",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_14.png",,,,,,,,
"Intro_Part2","NODE","Node11",,,Mai,,"Assets/Image/CG/Opening Scene/Opening_15.png",,,,,,,,
"Intro_Part2","NODE","Node12",,,Mai,,"Assets/Image/CG/Opening Scene/Opening_16.png",,,,,,,,
"Intro_Part2","NODE","Node13",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_16.png",,,,,,,,
"Intro_Part2","NODE","Node14",,,Mai,,"Assets/Image/CG/Opening Scene/Opening_17.png",,,,,,,,
"Intro_Part2","NODE","Node15",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_17.png",,,,,,,,
"Intro_Part2","NODE","Node16",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_18.png",,,,,,,,
"Intro_Part2","NODE","Node17",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_18.png",,,,,,,,
"Intro_Part2","NODE","Node18",,,Mai,,"Assets/Image/CG/Opening Scene/Opening_19.png",,,,,,,,
"Intro_Part2","NODE","Node19",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_19.png",,,,,,,,
"Intro_Part2","NODE","Node20",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_19.png",,,,,,,,
"Intro_Part2","NODE","Node21",,,Mai,,"Assets/Image/CG/Opening Scene/Opening_20.png",,,,,,,,
"Intro_Part2","NODE","Node22",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_20.png",,,,,,,,
"Intro_Part2","NODE","Node23",,,Mai,,"Assets/Image/CG/Opening Scene/Opening_21.png",,,,,,,,
"Intro_Part2","NODE","Node24",,,Mai,,"Assets/Image/CG/Opening Scene/Opening_22.png",,,,,,,,
"Intro_Part2","NODE","Node25",,,Mai,,"Assets/Image/CG/Opening Scene/Opening_23.png",,,,,,,,
"Intro_Part2","NODE","Node26",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_23.png",,"TRUE",,,,,,
"Intro_Part2","NODE","Node27",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_23.png",,"TRUE",,,,,,
"Intro_Part2","NODE","Node28",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_23.png",,"TRUE",,,,,,
"Intro_Part2","NODE","Node29",,,Mai,,"Assets/Image/CG/Opening Scene/Opening_24.png",,,,,,,,
"Intro_Part2","NODE","Node30",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_24.png",,,,,,,,
"Intro_Part2","NODE","Node31",,,Mai,,"Assets/Image/CG/Opening Scene/Opening_25.png",,,,,,,,
"Intro_Part2","NODE","Node32",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_25.png",,"TRUE",,,,,,
"Intro_Part2","NODE","Node33",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_25.png",,"TRUE",,,,,,
"Intro_Part2","SEQUENCE_END","Node33",,,,,,,,,,,,,
"Intro_Part3","SEQUENCE_START",,,,,,,,,,,,,,
"Intro_Part3","NODE","Node1",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_26.png",,,,,,,,
"Intro_Part3","NODE","Node2",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_26.png",,"TRUE",,,,,,
"Intro_Part3","NODE","Node3",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_26.png",,"TRUE",,,,,,
"Intro_Part3","NODE","Node4",,,Mai,,"Assets/Image/CG/Opening Scene/Opening_27.png",,,,,,,,
"Intro_Part3","NODE","Node5",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_27.png",,,,,,,,
"Intro_Part3","NODE","Node6",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_26.png",,"TRUE",,,,,,
"Intro_Part3","NODE","Node7",,,Mai,,"Assets/Image/CG/Opening Scene/Opening_27.png",,,,,,,,
"Intro_Part3","NODE","Node8",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_27.png",,,,,,,,
"Intro_Part3","NODE","Node9",,,Mai,,"Assets/Image/CG/Opening Scene/Opening_28.png",,,,,,,,
"Intro_Part3","NODE","Node10",,,Mai,,"Assets/Image/CG/Opening Scene/Opening_29.png",,,,,,,,
"Intro_Part3","NODE","Node11",,,Mai,,"Assets/Image/CG/Opening Scene/Opening_29.png",,,,,,,,
"Intro_Part3","NODE","Node12",,,Mai,,"Assets/Image/CG/Opening Scene/Opening_30.png",,,,,,,,
"Intro_Part3","NODE","Node13",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_31.png",,,,,,,,
"Intro_Part3","NODE","Node14",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_31.png",,"TRUE",,,,,,
"Intro_Part3","NODE","Node15",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_31.png",,"TRUE",,,,,,
"Intro_Part3","NODE","Node16",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_31.png",,"TRUE",,,,,,
"Intro_Part3","NODE","Node17",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_32.png",,,,,,,,
"Intro_Part3","NODE","Node18",,,Mai,,"Assets/Image/CG/Opening Scene/Opening_32.png",,,,,,,,
"Intro_Part3","NODE","Node19",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_33.png",,,,,,,,
"Intro_Part3","NODE","Node20",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_34.png",,,,,,,,
"Intro_Part3","NODE","Node21",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_34.png",,,,,,,,
"Intro_Part3","NODE","Node22",,,Mai,,"Assets/Image/CG/Opening Scene/Opening_35.png",,,,,,,,
"Intro_Part3","NODE","Node23",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_36.png",,,,,,,,
"Intro_Part3","NODE","Node24",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_37.png",,"TRUE",,,,,,
"Intro_Part3","NODE","Node25",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_37.png",,"TRUE",,,,,,
"Intro_Part3","SEQUENCE_END",,,,,,,,,,,,,,
