Key,English,Vietnamese,Japanese
Action Confirm Sleep DeepSleep Header,ZZZ...,ZZZ...,ZZZ...
Action Confirm Eating Initial Header,Eating with Mai?,Ăn cùng Mai?,マイと一緒に食事する？
Action Confirm Eating Accept Button,"Sure, why not?","Được chứ, tại sao không?",もちろん、なぜダメなの？
Action Confirm Eating Decline Button,I'm not hungry,Tôi không đói,お腹空いてない
Action Confirm Eating WithMai Header,Food is delicious when eaten with Mai,Đồ ăn ngon hơn khi ăn cùng Mai,マイと一緒に食べると美味しい
Action Confirm Sex Initial Header,Have sex with Mai?,Quan hệ với Mai?,マイとセックスする？
Action Confirm Sex Accept Button,Fuck yeah!,Địt thôi!,やろうぜ！
Action Confirm Sex Decline Button,I wanna sleep,Tôi muốn ngủ,寝たい
Action Confirm Working Initial Header,Start Working,Bắt đầu làm việc,仕事を始める
Action Confirm Working Normal Button,Work,Làm việc,働く
Action Confirm Working Hard Button,Work hard,Làm việc chăm chỉ,頑張って働く
Action Confirm Working Cancel Button,I'm Lazy,Tôi lười,怠け者だ
Action Confirm Working Done Header,My job is done!,Công việc hoàn thành!,仕事が終わった！
Action Confirm Talking Initial Header,Talk to someone?,Nói chuyện với ai đó?,誰かと話す？
Action Confirm Talking Accept Button,Let's talk!,Nói chuyện thôi!,話そう！
Action Confirm Talking Decline Button,I'm an introvert,Tôi là người hướng nội,内向的だから
Action Confirm Talking Result Header,It's nice to talk to everyone,Thật tuyệt khi nói chuyện với mọi người,みんなと話すのは楽しい
Action Confirm Exercise Initial Header,Start Exercise?,Bắt đầu tập thể dục?,運動を始める？
Action Confirm Exercise Normal Button,Okay...,Được rồi...,いいよ...
Action Confirm Exercise Hard Button,Try my best!,Cố gắng hết sức!,頑張る！
Action Confirm Exercise Cancel Button,I'm lazy...,Tôi lười...,怠け者...
Action Confirm Exercise Done Header,Done! So tired...,Xong rồi! Mệt quá...,終わった！疲れた...
Action Confirm Progress Initial Header,Progress,Tiến độ,進捗
Action Confirm Progress WorkLevel,Work Level,Cấp độ công việc,仕事レベル
Action Confirm Progress NextLevel,Next Level,Cấp tiếp theo,次のレベル
Action Confirm Progress Promote Button,Promote,Thăng cấp,昇進
Action Confirm Progress Promote Success,"Your work has been promoted!\nHigher level, more money","Công việc của bạn đã được thăng cấp!\nCấp cao hơn, nhiều tiền hơn","仕事が昇進しました！\nレベルが高いほど、お金が多い"
Action Confirm Progress Promote Fail,"Promotion failed\nYou need to make more progress","Thăng cấp thất bại\nBạn cần đạt thêm tiến độ","昇進失敗。\nもっと進捗が必要です"
Simulation Finish,Finish,Kết thúc,終了
Simulation EndSexScene Question,"End the sex scene?","Kết thúc cảnh sex?","セックスシーンを終了しますか？"
Simulation Result Header Positive,"You were amazing last night","Bạn thật tuyệt vời đêm qua","昨夜は素晴らしかった"
Simulation Result Header Negative,"It's okay, you tried your best","Không sao, bạn đã cố gắng hết sức rồi.","大丈夫だよ、頑張ったんだから"
Simulation Result Orgasm Hand,Orgasm (Hand),Cực Khoái (Tay),オーガズム（手）
Simulation Result Orgasm Mouth,Orgasm (Mouth/Tongue),Cực Khoái (Miệng),オーガズム（口）
Simulation Result Orgasm Pussy,Orgasm (Pussy),Cực Khoái (Âm Đạo),オーガズム（膣）
Simulation Result Orgasm Butthole,Orgasm (Butthole),Cực Khoái (Hậu Môn),オーガズム（肛門）
Simulation Result Orgasm Roleplay,Orgasm (Roleplay),Cực Khoái (Nhập Vai),オーガズム（ロールプレイ）
Simulation Result Orgasm Sex,Orgasm (Sex),Cực Khoái (Quan Hệ),オーガズム（セックス）
Simulation Result Fuck Mai,Fuck Mai,Đụ Mai,マイとセックス
Simulation Result Total Points,Total Points,Tổng Điểm,合計ポイント
Simulation Result Sensitive Boobs,Boobs,Ngực,おっぱい
Simulation Result Sensitive Mouth,Mouth,Miệng,口
Simulation Result Sensitive Pussy,Pussy,Âm Đạo,膣
Simulation Result Sensitive Butthole,Butthole,Hậu Môn,肛門
Simulation Result Other Header,Other,Khác,別の
Simulation Result Cum Inside,Cum Inside (No Condom),Xuất Tinh Bên Trong,中出し
Simulation Result Pregnancy Chance,Pregnancy Chance,Tỷ Lệ Mang Thai,妊娠確率
Simulation Result Mai Satisfaction,Mai's Satisfaction,Sự Hài Lòng Của Mai,マイの満足度
Simulation Result Next Day,Next Day,Ngày Tiếp Theo,次の日
Notice Libido Too Low,"Mai doesn't seem interested right now. Maybe try again later?","Mai có vẻ không quan tâm lắm lúc này. Có lẽ thử lại sau?","マイは今興味がないようだ。後でもう一度試してみる？"
Notice Enough Sleep,I've had enough sleep.,I've had enough sleep.,十分に寝た。
Notice Not Enough Energy,Not enough Energy,Không đủ Năng Lượng,エネルギー不足
Notice Enough Energy,I've had enough Energy for today,Mình đã đủ Năng Lượng cho ngày hôm nay rồi,今日はもう十分エネルギーを消費した
Floating Stat Popup,{amount} {stat} Points,{amount} Điểm {stat},{stat} {amount} ポイント
Stat Boobs Sensitive Points,Boobs Sensitive,Nhạy Cảm Ngực,おっぱい敏感
Stat Mouth Sensitive Points,Mouth Sensitive,Nhạy Cảm Miệng,口敏感
Stat Pussy Sensitive Points,Pussy Sensitive,Nhạy Cảm Âm Đạo,膣敏感
Stat Butthole Sensitive Points,Butthole Sensitive,Nhạy Cảm Hậu Môn,肛門敏感
Stat Lewd Level,Lewd Level,Lewd Level,Lewd Level
Stat Boobs Sensitive Level,Boobs Sensitive Level,Cấp Nhạy Cảm Ngực,おっぱい敏感レベル
Stat Mouth Sensitive Level,Mouth Sensitive Level,Cấp Nhạy Cảm Miệng,口敏感レベル
Stat Pussy Sensitive Level,Pussy Sensitive Level,Cấp Nhạy Cảm Âm Đạo,膣敏感レベル
Stat Butthole Sensitive Level,Butthole Sensitive Level,Cấp Nhạy Cảm Hậu Môn,肛門敏感レベル
Stat Pregnancy Chance,Pregnancy Chance,Tỉ Lệ Mang Thai,妊娠確率
"In Game Skill Point","Skill Point","Điểm Kĩ Năng",スキルポイント
"In Game Charming",Charming,Quyến Rũ,魅力
"In Game Knowledge",Knowledge,Kiến Thức,知識
"In Game Day",Day,Ngày,日
"In Game Cycle",Cycle,Buổi,時間帯
"In Game Cycle Morning",Morning,Sáng,朝
"In Game Cycle Evening",Evening,Chiều,夕方
"In Game Cycle Night",Night,Tối,夜
"In Game Work Level","Work Level","Cấp Độ Công Việc",仕事レベル
"In Game Work Progress","Work Progress","Tiến Độ Công Việc",仕事進捗
"UI Value Level","Lv {amount}","Lv {amount}","Lv {amount}"
