"SequenceID","NodeType","NodeID","ParentNodeID",ChoiceText,"Speaker","LineText","Animation","AnimFloat","FontStyle","IsMonologue","RewardTarget","RewardStat","RewardAmount","NextNodeID","NextSequenceID","StartingNodeInNextSequence","RandomGoodOutcomeSeqID","RandomNeutralOutcomeSeqID","RandomBadOutcomeSeqID"
"MaiDay_Answer1","NODE","MDA1_ColleagueNode4",,,"Player",,,,,,,,,,,,,,
"MaiDay_Answer1","SEQUENCE_END","MDA1_ColleagueEnd",,,,,,,,,"Mai",Love,-10,,,,,,
"MaiDay_Answer1","NODE","MDA1_FruitTeaNode",,,"Player",,,,,,,,,,,,,,
"MaiDay_Answer1","NODE","MDA1_FruitTeaNode2",,,Mai,,MaiTalk,0.4,,,,,,,,,,,
"MaiDay_Answer1","NODE","MDA1_FruitTeaNode3",,,Mai,,MaiTalk,0,,,,,,,,,,,
"MaiDay_Answer1","NODE","MDA1_FruitTeaNode4",,,"Player",,,,,,,,,,,,,,
"MaiDay_Answer1","SEQUENCE_END","MDA1_FruitTeaEnd",,,,,,,,,"Mai",Love,10,,,,,,
"MaiDay_Answer1","SEQUENCE_END","MDA1_FruitTeaEnd",,,,,,,,,"Player","Charming",10,,,,,,
"MaiDay_Answer2","SEQUENCE_START",,,,,,,,,,,,,,,,,,
"MaiDay_Answer2","NODE","MDA2_Node1",,,"Player",,,,,,,,,,,,,,
"MaiDay_Answer2","NODE","MDA2_Node2",,,Mai,,"MaiWorry",0.5,,,,,,,,,,,
"MaiDay_Answer2","NODE","MDA2_Node3",,,Mai,,"MaiWorry",0.5,,,,,,"MDA2_Node3_Choices",,,,,
"MaiDay_Answer2","NODE","MDA2_Node3_Choices",,,Mai,,,,,,,,,,,,,,
"MaiDay_Answer2",CHOICE,,"MDA2_Node3_Choices",,"Player",,,,,,,,,"MDA2_MotorbikeNode",,,,,
"MaiDay_Answer2",CHOICE,,"MDA2_Node3_Choices",,"Player",,,,,,,,,"MDA2_ComfortNode",,,,,
"MaiDay_Answer2","SEQUENCE_END","MDA2_BaseReward",,,,,,,,,"Mai",Love,-15,,,,,,
"MaiDay_Answer2","NODE","MDA2_MotorbikeNode",,,"Player",,,,,,,,,,,,,,
"MaiDay_Answer2","NODE","MDA2_MotorbikeNode2",,,"Player",,,,,,,,,,,,,,
"MaiDay_Answer2","NODE","MDA2_MotorbikeNode3",,,Mai,,MaiTalk,0.2,,,,,,,,,,,
"MaiDay_Answer2","NODE","MDA2_MotorbikeNode4",,,Mai,,MaiTalk,0.6,,,,,,,,,,,
"MaiDay_Answer2","NODE","MDA2_MotorbikeNode5",,,Mai,,MaiTalk,0.2,,,,,,,,,,,
"MaiDay_Answer2","NODE","MDA2_MotorbikeNode6",,,"Player",,,,,,,,,,,,,,
"MaiDay_Answer2","NODE","MDA2_MotorbikeNode7",,,Mai,,"MaiYandere",0.3,,,,,,,,,,,
"MaiDay_Answer2","SEQUENCE_END","MDA2_MotorbikeEnd",,,,,,,,,"Mai",Love,-20,,,,,,
"MaiDay_Answer2","NODE","MDA2_ComfortNode",,,"Player",,,,,,,,,,,,,,
"MaiDay_Answer2","NODE","MDA2_ComfortNode2",,,Mai,,MaiTalk,0.2,,,,,,,,,,,
"MaiDay_Answer2","NODE","MDA2_ComfortNode3",,,"Player",,,,,,,,,,,,,,
"MaiDay_Answer2","NODE","MDA2_ComfortNode4",,,"Player",,,,,,,,,,,,,,
"MaiDay_Answer2","NODE","MDA2_ComfortNode5",,,Mai,,"MaiSurprise",,,,,,,,,,,,
"MaiDay_Answer2","NODE","MDA2_ComfortNode6",,,"Player",,,,,"TRUE",,,,,,,,,
"MaiDay_Answer2","NODE","MDA2_ComfortNode7",,,Mai,,MaiBlush,0.1,,,,,,,,,,,
"MaiDay_Answer2","NODE","MDA2_ComfortNode8",,,"Player",,,,,,,,,,,,,,
"MaiDay_Answer2","NODE","MDA2_ComfortNode9",,,"Player",,,,,,,,,,,,,,
"MaiDay_Answer2","NODE","MDA2_ComfortNode10",,,Mai,,MaiPeace,,,,,,,,,,,,
"MaiDay_Answer2","SEQUENCE_END","MDA2_ComfortEnd",,,,,,,,,"Mai",Love,10,,,,,,
"MaiDay_Answer2","SEQUENCE_END","MDA2_ComfortEnd",,,,,,,,,"Player","Charming",10,,,,,,
"MaiDay_Answer3","SEQUENCE_START",,,,,,,,,,,,,,,,,,
"MaiDay_Answer3","NODE","MDA3_Node1",,,"Player",,,,,,,,,,,,,,
"MaiDay_Answer3","NODE","MDA3_Node2",,,Mai,,MaiTalk,0,,,,,,,,,,,
"MaiDay_Answer3","NODE","MDA3_Node3",,,Mai,,MaiTalk,0,,,,,,"MDA3_Node3_Choices",,,,,
"MaiDay_Answer3","NODE","MDA3_Node3_Choices",,,Mai,,,,,,,,,,,,,,
"MaiDay_Answer3",CHOICE,,"MDA3_Node3_Choices",,"Player",,,,,,,,,,,,,,
"MaiDay_Answer3",CHOICE,,"MDA3_Node3_Choices",,"Player",,,,,,,,,"MDA3_MovieNode",,,,,
"MaiDay_Answer3","SEQUENCE_END","MDA3_BaseReward",,,,,,,,,"Mai",Love,0,,,,,,
"MaiDay_Answer3","SEQUENCE_END","MDA3_NoMoreAskingEnd",,,,,,,,,"Mai",Love,0,,,,,,
"MaiDay_Answer3","NODE","MDA3_MovieNode",,,"Player",,,,,,,,,,,,,,
"MaiDay_Answer3","NODE","MDA3_MovieNode2",,,Mai,,MaiTalk,0,,,,,,,,,,,
"MaiDay_Answer3","NODE","MDA3_MovieNode3",,,Mai,,MaiTalk,0.4,,,,,,,,,,,
"MaiDay_Answer3","SEQUENCE_END","MDA3_MovieEnd",,,,,,,,,"Mai",Love,5,,,,,,
MaiSpecificTopic,"SEQUENCE_START",,,,,,,,,,,,,"MST_TopicChoicesNode",,,,,
MaiSpecificTopic,"NODE","MST_TopicChoicesNode",,,Mai,,,,,,,,,,,,,,
MaiSpecificTopic,CHOICE,,"MST_TopicChoicesNode",,"Player",,,,,,,,,"MST_WorkingHoursNode",,,,,
MaiSpecificTopic,CHOICE,,"MST_TopicChoicesNode",,"Player",,,,,,,,,"MST_JobNode",,,,,
MaiSpecificTopic,CHOICE,,"MST_TopicChoicesNode",,"Player",,,,,,,,,"MST_CoworkersNode",,,,,
MaiSpecificTopic,"NODE","MST_WorkingHoursNode",,,"Player",,,,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_WorkingHoursNode2",,,"Player",,,,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_WorkingHoursNode3",,,Mai,,MaiTalk,0.4,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_WorkingHoursNode4",,,"Player",,,,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_WorkingHoursNode5",,,Mai,,"MaiNoSmile",0.5,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_WorkingHoursNode6",,,Mai,,MaiTalk,0.4,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_WorkingHoursNode7",,,"Player",,,,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_WorkingHoursNode8",,,Mai,,MaiTalk,0.4,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_WorkingHoursNode9",,,"Player",,,,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_WorkingHoursNode10",,,Mai,,MaiTalk,0.4,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_WorkingHoursNode11",,,"Player",,,,,,,,,,,,,,
MaiSpecificTopic,"SEQUENCE_END","MST_WorkingHoursEnd",,,,,,,,,"Player","Knowledge",5,,,,,,
MaiSpecificTopic,"SEQUENCE_END","MST_WorkingHoursEnd2",,,,,,,,,"Mai",Love,2,,,,,,
MaiSpecificTopic,"NODE","MST_JobNode",,,"Player",,,,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_JobNode2",,,Mai,,MaiTalk,0.4,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_JobNode3",,,Mai,,MaiTalk,0.4,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_JobNode4",,,"Player",,,,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_JobNode5",,,Mai,,"MaiConfuse",0.5,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_JobNode6",,,Mai,,MaiTalk,0.4,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_JobNode7",,,Mai,,MaiTalk,0.4,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_JobNode8",,,Mai,,MaiTalk,0.4,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_JobNode9",,,Mai,,MaiTalk,0.4,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_JobNode10",,,"Player",,,,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_JobNode11",,,Mai,,"MaiYandere",0.5,,,,,,,,,,,
MaiSpecificTopic,"SEQUENCE_END","MST_JobEnd",,,,,,,,,"Player","Knowledge",5,,,,,,
MaiSpecificTopic,"SEQUENCE_END","MST_JobEnd2",,,,,,,,,"Mai",Love,10,,,,,,
MaiSpecificTopic,"NODE","MST_CoworkersNode",,,"Player",,,,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_CoworkersNode2",,,Mai,,MaiTalk,0.4,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_CoworkersNode3",,,Mai,,MaiTalk,0.4,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_CoworkersNode4",,,"Player",,,,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_CoworkersNode5",,,Mai,,MaiTalk,0.4,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_CoworkersNode6",,,Mai,,"MaiYandere",0.5,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_CoworkersNode7",,,"Player",,,,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_CoworkersNode8",,,Mai,,MaiTalk,0.4,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_CoworkersNode9",,,Mai,,MaiTalk,0.4,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_CoworkersNode10",,,Mai,,"MaiDisgusting",0.5,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_CoworkersNode11",,,"Player",,,,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_CoworkersNode12",,,Mai,,"MaiYandere",0.5,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_CoworkersNode13",,,Mai,,MaiTalk,0.4,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_CoworkersNode14",,,"Player",,,,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_CoworkersNode15",,,Mai,,MaiTalk,0.4,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_CoworkersNode16",,,Mai,,MaiTalk,0.4,,,,,,,,,,,
MaiSpecificTopic,"NODE","MST_CoworkersNode17",,,"Player",,,,,,,,,,,,,,
MaiSpecificTopic,"SEQUENCE_END","MST_CoworkersEnd",,,,,,,,,"Player","Knowledge",5,,,,,,
