Key,Text
"Start Load Game Slot Info",Ngày {day} - {time}
"Start Load Game Delete Question",Xóa lưu game này?
"Start Load Game Delete Yes",Xóa
"Start Load Game Title",Tải Game
"Start Save Game Title",Lưu Game
"Start Save Game Auto Save",Lưu Tự Động
"Start Save Game Overwrite Question","Ghi đè lưu game này?"
"Start Save Game Overwrite Yes",Ghi đè
"Start New Game Button",Bắt đầu
"Start New Game Panel Confirm Button","Xác nhận"
"Start New Game Panel Title","Điền tên của bạn vào đây"
"Start Quit Button",Thoát
"Start Scene Button","Cảnh Game"
"Start Scene Ending","Cảnh kết"
"Start Scene Ending No","Cảnh kết {0}"
"Start Scene Event","Sự kiện"
"Start Scene Event No","Sự kiện {0}"
"Start Scene Title","Cảnh mở khóa"
"Start Setting Button",Cài Đặt
"UI ItemPrice","Tiền: {amount}"
"Notice Item Unavailable","Vật phẩm không có sẵn!"
"Notice Game Saved","Đã lưu game!"
"Notice Save Failed","Không lưu được game!"
"Notice Load Failed","Không tải được lưu game này!"
"Notice Not Enough Money","Không đủ tiền!"
"Notice Save Slot Empty","Ô lưu game này trống!"
"Notice Not Enough Sex Points","Không đủ Điểm Tình Dục!"
"Notice Skill Max Level","Kỹ năng này đã đạt cấp tối đa!"
"Notice Skill Min Level","Không thể hạ cấp kỹ năng này thêm nữa!"
"Notice Purchase Failed",Mua thất bại!
"Notice Area Restricted","Tôi không muốn ra ngoài lúc này"
"Action Sleep","Ngủ"
"Action Eating","Ăn"
"Action Sex","Quan hệ"
"Action Working",Làm việc
"Action Talking","Nói chuyện"
"Action Exercise",Tập thể dục
"Action Progress","Tiến độ"
"In Game DayOfWeek Sunday","Chủ Nhật"
"In Game DayOfWeek Monday",Thứ Hai
"In Game DayOfWeek Tuesday",Thứ Ba
"In Game DayOfWeek Wednesday",Thứ Tư
"In Game DayOfWeek Thursday","Thứ Năm"
"In Game DayOfWeek Friday",Thứ Sáu
"In Game DayOfWeek Saturday",Thứ Bảy
"Action Confirm Stat Change","{amount} {stat}"
"Action Confirm Sleep Initial Header","Tôi mệt rồi, cần phải ngủ"
"Action Confirm Sleep Nap Button","Ngủ trưa"
"Action Confirm Sleep DeepSleep Button","Ngủ ngon..."
"Action Confirm Sleep Cancel Button","Không, tôi vẫn còn tỉnh"
"Action Confirm Sleep Nap Header",Tôi sẽ thức dậy sau một giờ
"Action Confirm Sleep DeepSleep Header",ZZZ...
"Action Confirm Eating Initial Header","Ăn cùng Mai?"
"Action Confirm Eating Accept Button","Được chứ, tại sao không?"
"Action Confirm Eating Decline Button","Tôi không đói"
"Action Confirm Eating WithMai Header","Đồ ăn ngon hơn khi ăn cùng Mai"
"Action Confirm Sex Initial Header","Quan hệ với Mai?"
"Action Confirm Sex Accept Button",Địt thôi!
"Action Confirm Sex Decline Button","Tôi muốn ngủ"
"Action Confirm Working Initial Header",Bắt đầu làm việc
"Action Confirm Working Normal Button",Làm việc
"Action Confirm Working Hard Button",Làm việc chăm chỉ
"Action Confirm Working Cancel Button",Tôi lười
"Action Confirm Working Done Header","Công việc hoàn thành!"
"Action Confirm Talking Initial Header","Nói chuyện với ai đó?"
"Action Confirm Talking Accept Button","Nói chuyện thôi!"
"Action Confirm Talking Decline Button","Tôi là người hướng nội"
"Action Confirm Talking Result Header","Thật tuyệt khi nói chuyện với mọi người"
"Action Confirm Exercise Initial Header",Bắt đầu tập thể dục?
"Action Confirm Exercise Normal Button","Được rồi..."
"Action Confirm Exercise Hard Button","Cố gắng hết sức!"
"Action Confirm Exercise Cancel Button",Tôi lười...
"Action Confirm Exercise Done Header","Xong rồi! Mệt quá..."
"Action Confirm Progress Initial Header","Tiến độ"
"Action Confirm Progress WorkLevel","Cấp độ công việc"
"Action Confirm Progress NextLevel",Cấp tiếp theo
"Action Confirm Progress Promote Button","Thăng cấp"
"Action Confirm Progress Promote Success","Công việc của bạn đã được thăng cấp!\nCấp cao hơn, nhiều tiền hơn"
"Action Confirm Progress Promote Fail","Thăng cấp thất bại\nBạn cần đạt thêm tiến độ"
"Simulation Finish",Kết thúc
Simulation Control Insert,Insert
Simulation Control Pussy,Pussy
Simulation Control Butthole,Butthole
Simulation Control Slow,Slow
Simulation Control Fast,Fast
Simulation Control Stop,Stop
Simulation Control Outside,Outside
Simulation Control Pullout,Pullout
Simulation Control Scene,Scene
Simulation Control Hand,Hand
Simulation Control Tongue,Tongue
Simulation Control Sex Toy,Sex Toy
"Simulation EndSexScene Question","Kết thúc cảnh sex?"
"Simulation Result Header Positive","Bạn thật tuyệt vời đêm qua"
"Simulation Result Header Negative","Không sao, bạn đã cố gắng hết sức rồi."
"Simulation Result Orgasm Hand",Cực Khoái (Tay)
"Simulation Result Orgasm Mouth","Cực Khoái (Miệng)"
"Simulation Result Orgasm Pussy",Cực Khoái (Âm Đạo)
"Simulation Result Orgasm Butthole","Cực Khoái (Hậu Môn)"
"Simulation Result Orgasm Roleplay","Cực Khoái (Nhập Vai)"
"Simulation Result Orgasm Sex","Cực Khoái (Quan Hệ)"
"Simulation Result Fuck Mai",Đụ Mai
"Simulation Result Total Points","Tổng Điểm"
"Simulation Result Sensitive Boobs","Ngực"
"Simulation Result Sensitive Mouth","Miệng"
"Simulation Result Sensitive Pussy",Âm Đạo
"Simulation Result Sensitive Butthole","Hậu Môn"
"Simulation Result Other Header",Khác
"Simulation Result Cum Inside","Xuất Tinh Bên Trong"
"Simulation Result Pregnancy Chance","Tỷ Lệ Mang Thai"
"Simulation Result Mai Satisfaction","Sự Hài Lòng Của Mai"
"Simulation Result Next Day","Ngày Tiếp Theo"
"Notice Libido Too Low","Mai có vẻ không quan tâm lắm lúc này. Có lẽ thử lại sau?"
"Notice Enough Sleep","I've had enough sleep."
"Notice Not Enough Energy","Không đủ Năng Lượng"
"Notice Enough Energy","Mình đã đủ Năng Lượng cho ngày hôm nay rồi"
Simulation Position Blowjob,Blowjob
Simulation Position Cowgirl,Cowgirl
Simulation Position Doggy Style,Doggy Style
Simulation Position Foreplay Butthole,Foreplay Butthole
Simulation Position Foreplay Pussy,Foreplay Pussy
Simulation Position Full Nelson,Full Nelson
Simulation Position Mating Press,Mating Press
Simulation Position Paizuri,Paizuri
Simulation Position Return,Return
Simulation Position Spooning,Spooning
Skill Sex Scene Doggy Style,Doggy Style
Skill Sex Scene Roleplay Pussy,Roleplay Pussy
Skill Sex Scene Full Nelson,Full Nelson
Skill Sex Scene Spooning,Spooning
Skill Sex Scene Missionary,Missionary
Skill Sex Scene Paizuri,Paizuri
Skill Sex Scene Roleplay Butthole,Roleplay Butthole
Skill Sex Scene Mating Press,Mating Press
Skill Sex Scene Blowjob,Blowjob
Skill Sex Scene Cowgirl,Cowgirl
"UI Empty",""
"UI Value Integer","{amount}"
"UI Value Signed","{amount}"
"UI Value Ratio","{current}/{max}"
"UI Value Text","{value}"
"UI Value Max","Max"
"Day Time Day","Ngày: {day}"
"Day Time Time","Giờ: {time}"
"Body Not Pregnant Chance","Chưa có thai ({chance}%)"
"Body Sensitive Points Per Activity Summary","Ngực: +{boobs} Điểm Nhạy Cảm\nMiệng: +{mouth} Điểm Nhạy Cảm\nÂm Đạo: +{pussy} Điểm Nhạy Cảm\nHậu Môn: +{butthole} Điểm Nhạy Cảm"
"Body Sensitive Level Upgrade Confirm","Cấp Sensitive tiếp theo sẽ tốn {cost} Điểm Nhạy Cảm."
"Body Lewd Level Upgrade Confirm","Lewd Level {level} sẽ tốn:\n- Ngực: {boobsCost} Điểm Nhạy Cảm\n- Miệng: {mouthCost} Điểm Nhạy Cảm\n- Âm Đạo: {pussyCost} Điểm Nhạy Cảm\n- Hậu Môn: {buttholeCost} Điểm Nhạy Cảm"
"Body Upgrade Button","Nâng cấp"
"Body Level Up Button","Tăng cấp"
"Notice Not Enough Sensitive Points","Bạn cần thêm Điểm Nhạy Cảm."
"Notice Sensitive Level Upgrade Success","Chúc mừng!!\nBạn sẽ nhận +{amount} Điểm Nhạy Cảm mỗi lần."
"Sex Scene Unlock Confirm Question","Unlock this scene?"
"Sex Scene Unlock Confirm Yes","Fuck yeah!"
"Sex Scene Unlock Confirm No","Nah..."
"Notice Sex Scene Unlock Success","Unlocked successfully! You can use this scene when having sex with Mai."
"Notice Sex Scene Unlock Failure","Unlock failed. You do not meet the requirements to unlock this scene."
"Sex Scene Unlock Info Header","Unlock conditions"
"Sex Scene Unlock Requirements Missionary","- Sex Points: 0"
"Sex Scene Unlock Requirements Roleplay Pussy","- Sex Points: 0"
"Sex Scene Unlock Requirements Roleplay Butthole","- Sex Points: 50"
"Sex Scene Unlock Requirements Blowjob","- Sex Points: 50"
"Sex Scene Unlock Requirements Paizuri","- Sex Points: 50"
"Sex Scene Unlock Requirements Doggy Style","- Sex Points: 200\n- Sensitive Level for Pussy must be 3 or more.\n- Sensitive Level for Butthole must be 3 or more."
"Sex Scene Unlock Requirements Cowgirl","- Sex Points: 300\n- Sensitive Level for Pussy must be 5 or more.\n- Lewd Level 2 or more."
"Sex Scene Unlock Requirements Spooning","- Sex Points: 500\n- Love Points must be over 200 Points.\n- Lewd Level 2 or more."
"Sex Scene Unlock Requirements Mating Press","- Sex Points: 700\n- Sensitive Level for Pussy must be 6 or more.\n- Sensitive Level for Butthole must be 6 or more.\n- Lewd Level 3 or more."
"Sex Scene Unlock Requirements Full Nelson","- Sex Points: 1000\n- Max Energy must be over 300.\n- Love Points must be over 400 Points.\n- Lewd Level 4 or more."
"Stat Money","Tiền"
"Stat Knowledge","Kiến Thức"
"Stat Progress","Tiến Độ"
"Stat Energy","Năng Lượng"
"Stat Love","Tình Cảm"
"Stat Libido","Ham Muốn"
"Stat Charming","Quyến Rũ"
"Stat Sex Points","Sex Points"
"Floating Stat Popup","{amount} Điểm {stat}"
"Stat Boobs Sensitive Points","Nhạy Cảm Ngực"
"Stat Mouth Sensitive Points","Nhạy Cảm Miệng"
"Stat Pussy Sensitive Points","Nhạy Cảm Âm Đạo"
"Stat Butthole Sensitive Points","Nhạy Cảm Hậu Môn"
"Stat Lewd Level","Lewd Level"
"Stat Boobs Sensitive Level","Cấp Nhạy Cảm Ngực"
"Stat Mouth Sensitive Level","Cấp Nhạy Cảm Miệng"
"Stat Pussy Sensitive Level","Cấp Nhạy Cảm Âm Đạo"
"Stat Butthole Sensitive Level","Cấp Nhạy Cảm Hậu Môn"
"Stat Pregnancy Chance","Tỉ Lệ Mang Thai"
"In Game Skill Point","Điểm Kĩ Năng"
"In Game Charming",Quyến Rũ
"In Game Knowledge",Kiến Thức
"In Game Day",Ngày
"In Game Cycle",Buổi
"In Game Cycle Morning",Sáng
"In Game Cycle Evening",Chiều
"In Game Cycle Night",Tối
"In Game Work Level","Cấp Độ Công Việc"
"In Game Work Progress","Tiến Độ Công Việc"
"UI Value Level","Lv {amount}"
