Key,Text
"Mai Profile Relationship Status",関係
"Mai Profile Three Sizes",95/58/93
"Mai Profile Three Sizes Title",スリーサイズ
"Mai Profile Weight",55 kg
"Mai Profile Weight Title",重さ
"New Game Placeholder","Player"
"Notice I don't wanna go out at this time",この時間に外へ出たくない
"Notice It's not my working hours at this time",今は仕事の時間ではない
"Place Company",会社
"Place Hiep Mart","Hiep Mart"
Place Home,家
"Place Park",公園
"Setting Language",言語
"Setting Load Game","ロードゲーム"
"Setting Music",音楽
"Setting Return",タイトル
"Setting Save Game",セーブゲーム
"Setting Screen",画面
"Setting Screen Full Screen",全画面表示
"Setting Screen Window",ウィンドウ
"Setting Sound",音
"Setting Tab Audio","サウンド"
"Setting Tab Display","ディスプレイ"
"Setting Tab System","システム"
"Setting Title",設定
"Setting Voice",声
Shop Buy,買う
Shop Tab Gifts,贈り物
Shop Tab Goods,品
Skill Age Title,年齢
"Skill Energy Title",エネルギー
"Skill Big Dick Description",ちんぽを使うたびに消費されるエネルギーポイント
Skill Big Dick Title,大ちんぽ
"Skill Charming",魅力
"Skill Gender",男性
"Skill Gender Title",性別
"Skill Long Night Description",ゴムなしでマイに中出しするたびの妊娠確率
"Skill Long Night Title",孕め！
"Skill Hmm...Delicious Description",口・舌でマイを絶頂させる
Skill Hmm...Delicious Title,うん、うまい！
"Skill I need more bullet! Description",射精できる回数
"Skill I need more bullet! Title",もっと撃てる回数が欲しい！
"Skill I'm bout to CUM Description",マイのまんこにちんぽを入れるたびに射精する確率
Skill I'm bout to CUM Title,もう射精するわ!
"Skill Knowledge",知識
"Skill Magic Hand Description",手でマイを絶頂させる
"Skill Magic Hand Title",マジックハンド
"Skill Max Energy",マックスエネルギー
"Skill Name",名前
"Skill Necessary Points",必要ポイント
"Skill Points",ポイント
"Skill Profile",プロフィール
"Skill Sex Points",セックスポイント
Skill Sex Skill 1,エッチ
Skill Sex Skill 2,エッチ
"Skill Sex Scene",体位
Skill Skill,スキル
"Skill You like anal, don't you ? Description",ちんぽでマイのアナルを突いて絶頂させる
"Skill You like anal, don't you ? Title",アナル好きかな？
"Skill You like my dick, huh ? Description",ちんぽでマイのまんこを突いて絶頂させる
"Skill You like my dick, huh ? Title",俺のちんぽが好きかな？
"Skill Stamina Title",スタミナ
"Start Confirm No",いいえ
"Start Confirm Question",ここから始まりますか？
"Start Confirm Yes",はい
"Start Credit Background Illustrator",背景イラストレーター
"Start Credit Button",クレジット
"Start Credit Dev 1",プログラマー
"Start Credit Dev 2",プログラマー
"Start Credit Music",音楽
"Start Credit Staff Voice",スタッフの声
"Start Credit Title",クレジット
"Start Credit Voice Actress",声優
"Start Credit Write & Illustrator",作家&イラストレーター
"Start Load Game Button",ロードゲーム
"Start Load Game Quick Save",クイックセーブ
"Start Load Game Save No",保存 {0}
"Start Load Game Slot Info",{day}日 - {time}
"Start Load Game Delete Question",このセーブを削除しますか？
"Start Load Game Delete Yes",削除
"Start Load Game Title",ロードゲーム
"Start Save Game Title",セーブゲーム
"Start Save Game Auto Save",オートセーブ
"Start Save Game Overwrite Question","このセーブを上書きしますか？"
"Start Save Game Overwrite Yes",上書き
"Start New Game Button",ニューゲーム
"Start New Game Panel Confirm Button",確認
"Start New Game Panel Title",名前を入力してください
"Start Quit Button",終了
"Start Scene Button",シーン
"Start Scene Ending",エンディング
"Start Scene Ending No",エンディング {0}
"Start Scene Event",イベント
"Start Scene Event No",イベント {0}
"Start Scene Title",シーンをアンロックする
"Start Setting Button",設定
"UI ItemPrice","お金: {amount}"
"Notice Item Unavailable",アイテムは利用できません！
"Notice Game Saved","ゲームを保存しました！"
"Notice Save Failed","セーブに失敗しました！"
"Notice Load Failed",セーブのロードに失敗しました！
"Notice Not Enough Money",お金が足りません！
"Notice Save Slot Empty",このセーブスロットは空です！
"Notice Not Enough Sex Points",セックスポイントが足りません！
"Notice Skill Max Level",このスキルは既に最大レベルです！
"Notice Skill Min Level",このスキルをこれ以上下げることはできません！
"Notice Purchase Failed",購入に失敗しました！
"Notice Area Restricted",今は外出したくない
"Action Sleep",寝る
"Action Eating",食べる
"Action Sex",セックス
"Action Working",働く
"Action Talking",話す
"Action Exercise",運動する
"Action Progress",進捗
"In Game DayOfWeek Sunday",日曜日
"In Game DayOfWeek Monday",月曜日
"In Game DayOfWeek Tuesday",火曜日
"In Game DayOfWeek Wednesday",水曜日
"In Game DayOfWeek Thursday",木曜日
"In Game DayOfWeek Friday",金曜日
"In Game DayOfWeek Saturday",土曜日
"Action Confirm Stat Change","{amount} {stat}"
"Action Confirm Sleep Initial Header",疲れた、寝なきゃ
"Action Confirm Sleep Nap Button",仮眠を取る
"Action Confirm Sleep DeepSleep Button",良い夢を...
"Action Confirm Sleep Cancel Button",いや、まだ起きてる
"Action Confirm Sleep Nap Header",1時間後に起きる
"Action Confirm Sleep DeepSleep Header",ZZZ...
"Action Confirm Eating Initial Header",マイと一緒に食事する？
"Action Confirm Eating Accept Button",もちろん、なぜダメなの？
"Action Confirm Eating Decline Button",お腹空いてない
"Action Confirm Eating WithMai Header",マイと一緒に食べると美味しい
"Action Confirm Sex Initial Header",マイとセックスする？
"Action Confirm Sex Accept Button",やろうぜ！
"Action Confirm Sex Decline Button",寝たい
"Action Confirm Working Initial Header",仕事を始める
"Action Confirm Working Normal Button",働く
"Action Confirm Working Hard Button",頑張って働く
"Action Confirm Working Cancel Button",怠け者だ
"Action Confirm Working Done Header",仕事が終わった！
"Action Confirm Talking Initial Header",誰かと話す？
"Action Confirm Talking Accept Button",話そう！
"Action Confirm Talking Decline Button",内向的だから
"Action Confirm Talking Result Header",みんなと話すのは楽しい
"Action Confirm Exercise Initial Header",運動を始める？
"Action Confirm Exercise Normal Button",いいよ...
"Action Confirm Exercise Hard Button",頑張る！
"Action Confirm Exercise Cancel Button",怠け者...
"Action Confirm Exercise Done Header",終わった！疲れた...
"Action Confirm Progress Initial Header",進捗
"Action Confirm Progress WorkLevel",仕事レベル
"Action Confirm Progress NextLevel",次のレベル
"Action Confirm Progress Promote Button",昇進
"Action Confirm Progress Promote Success","仕事が昇進しました！\nレベルが高いほど、お金が多い"
"Action Confirm Progress Promote Fail","昇進失敗。\nもっと進捗が必要です"
"Simulation Finish",終了
Simulation Control Insert,Insert
Simulation Control Pussy,Pussy
Simulation Control Butthole,Butthole
Simulation Control Slow,Slow
Simulation Control Fast,Fast
Simulation Control Stop,Stop
Simulation Control Outside,Outside
Simulation Control Pullout,Pullout
Simulation Control Scene,Scene
Simulation Control Hand,Hand
Simulation Control Tongue,Tongue
Simulation Control Sex Toy,Sex Toy
"Simulation EndSexScene Question",セックスシーンを終了しますか？
"Simulation Result Header Positive",昨夜は素晴らしかった
"Simulation Result Header Negative",大丈夫だよ、頑張ったんだから
"Simulation Result Orgasm Hand",オーガズム（手）
"Simulation Result Orgasm Mouth",オーガズム（口）
"Simulation Result Orgasm Pussy",オーガズム（膣）
"Simulation Result Orgasm Butthole",オーガズム（肛門）
"Simulation Result Orgasm Roleplay",オーガズム（ロールプレイ）
"Simulation Result Orgasm Sex",オーガズム（セックス）
"Simulation Result Fuck Mai",マイとセックス
"Simulation Result Total Points",合計ポイント
"Simulation Result Sensitive Boobs",おっぱい
"Simulation Result Sensitive Mouth",口
"Simulation Result Sensitive Pussy",膣
"Simulation Result Sensitive Butthole",肛門
"Simulation Result Other Header",別の
"Simulation Result Cum Inside",中出し
"Simulation Result Pregnancy Chance",妊娠確率
"Simulation Result Mai Satisfaction",マイの満足度
"Simulation Result Next Day",次の日
"Notice Libido Too Low",マイは今興味がないようだ。後でもう一度試してみる？
"Notice Enough Sleep",十分に寝た。
"Notice Not Enough Energy",エネルギー不足
"Notice Enough Energy",今日はもう十分エネルギーを消費した
Simulation Position Blowjob,Blowjob
Simulation Position Cowgirl,Cowgirl
Simulation Position Doggy Style,Doggy Style
Simulation Position Foreplay Butthole,Foreplay Butthole
Simulation Position Foreplay Pussy,Foreplay Pussy
Simulation Position Full Nelson,Full Nelson
Simulation Position Mating Press,Mating Press
Simulation Position Paizuri,Paizuri
Simulation Position Return,Return
Simulation Position Spooning,Spooning
Skill Sex Scene Doggy Style,Doggy Style
Skill Sex Scene Roleplay Pussy,Roleplay Pussy
Skill Sex Scene Full Nelson,Full Nelson
Skill Sex Scene Spooning,Spooning
Skill Sex Scene Missionary,Missionary
Skill Sex Scene Paizuri,Paizuri
Skill Sex Scene Roleplay Butthole,Roleplay Butthole
Skill Sex Scene Mating Press,Mating Press
Skill Sex Scene Blowjob,Blowjob
Skill Sex Scene Cowgirl,Cowgirl
"UI Empty",""
"UI Value Integer","{amount}"
"UI Value Signed","{amount}"
"UI Value Ratio","{current}/{max}"
"UI Value Text","{value}"
"UI Value Max","Max"
"Day Time Day","日数: {day}"
"Day Time Time","時間: {time}"
"Body Not Pregnant Chance","未妊娠 ({chance}%)"
"Body Sensitive Points Per Activity Summary","おっぱい: +{boobs} 敏感ポイント\n口: +{mouth} 敏感ポイント\n膣: +{pussy} 敏感ポイント\n肛門: +{butthole} 敏感ポイント"
"Body Sensitive Level Upgrade Confirm","次の敏感レベルには{cost}敏感ポイントが必要です。"
"Body Lewd Level Upgrade Confirm","Lewd Level {level}には以下が必要です:\n- おっぱい: {boobsCost} 敏感ポイント\n- 口: {mouthCost} 敏感ポイント\n- 膣: {pussyCost} 敏感ポイント\n- 肛門: {buttholeCost} 敏感ポイント"
"Body Upgrade Button","アップグレード"
"Body Level Up Button","レベルアップ"
"Notice Not Enough Sensitive Points","敏感ポイントが足りません。"
"Notice Sensitive Level Upgrade Success","おめでとう!!\n今後は1回ごとに+{amount}敏感ポイントを獲得します。"
"Sex Scene Unlock Confirm Question","Unlock this scene?"
"Sex Scene Unlock Confirm Yes","Fuck yeah!"
"Sex Scene Unlock Confirm No","Nah..."
"Notice Sex Scene Unlock Success","Unlocked successfully! You can use this scene when having sex with Mai."
"Notice Sex Scene Unlock Failure","Unlock failed. You do not meet the requirements to unlock this scene."
"Sex Scene Unlock Info Header","Unlock conditions"
"Sex Scene Unlock Requirements Missionary","- Sex Points: 0"
"Sex Scene Unlock Requirements Roleplay Pussy","- Sex Points: 0"
"Sex Scene Unlock Requirements Roleplay Butthole","- Sex Points: 50"
"Sex Scene Unlock Requirements Blowjob","- Sex Points: 50"
"Sex Scene Unlock Requirements Paizuri","- Sex Points: 50"
"Sex Scene Unlock Requirements Doggy Style","- Sex Points: 200\n- Sensitive Level for Pussy must be 3 or more.\n- Sensitive Level for Butthole must be 3 or more."
"Sex Scene Unlock Requirements Cowgirl","- Sex Points: 300\n- Sensitive Level for Pussy must be 5 or more.\n- Lewd Level 2 or more."
"Sex Scene Unlock Requirements Spooning","- Sex Points: 500\n- Love Points must be over 200 Points.\n- Lewd Level 2 or more."
"Sex Scene Unlock Requirements Mating Press","- Sex Points: 700\n- Sensitive Level for Pussy must be 6 or more.\n- Sensitive Level for Butthole must be 6 or more.\n- Lewd Level 3 or more."
"Sex Scene Unlock Requirements Full Nelson","- Sex Points: 1000\n- Max Energy must be over 300.\n- Love Points must be over 400 Points.\n- Lewd Level 4 or more."
"Stat Money","お金"
"Stat Knowledge","知識"
"Stat Progress","進捗"
"Stat Energy","エネルギー"
"Stat Love","愛情"
"Stat Libido","リビドー"
"Stat Charming","魅力"
"Stat Sex Points","Sex Points"
"Floating Stat Popup","{stat} {amount} ポイント"
"Stat Boobs Sensitive Points","おっぱい敏感"
"Stat Mouth Sensitive Points","口敏感"
"Stat Pussy Sensitive Points","膣敏感"
"Stat Butthole Sensitive Points","肛門敏感"
"Stat Lewd Level","Lewd Level"
"Stat Boobs Sensitive Level","おっぱい敏感レベル"
"Stat Mouth Sensitive Level","口敏感レベル"
"Stat Pussy Sensitive Level","膣敏感レベル"
"Stat Butthole Sensitive Level","肛門敏感レベル"
"Stat Pregnancy Chance","妊娠確率"
"In Game Skill Point",スキルポイント
"In Game Charming",魅力
"In Game Knowledge",知識
"In Game Day",日
"In Game Cycle",時間帯
"In Game Cycle Morning",朝
"In Game Cycle Evening",夕方
"In Game Cycle Night",夜
"In Game Work Level",仕事レベル
"In Game Work Progress",仕事進捗
"UI Value Level","Lv {amount}"
